中药在新冠肺炎防治中的应用和研究进展 ,2020,3,25,中医药早期介入、中西医结合治疗是提高新型冠状病毒肺炎（简称“新冠肺炎”，COVID-19）治愈率、降低病死率的重要手段。综述中药防治新冠肺炎的药理依据和临床应用，以及防治新冠肺炎中药的研究策略，特别介绍了本次新冠肺炎防控中临床有效应用的中药复方如清肺排毒汤等。在传承中医药理论和原则基础上，坚持以中医药理论为指导，同时借助大数据、人工智能和系统生物学等先进技术和手段，通过多学科交叉构建多水平、多维度的药效筛选和研究体系，从而更系统、深入和全面地揭示中药药效物质基础、作用靶点、作用机制，进一步挖掘中医药精髓。
物联网辅助新冠肺炎诊治中国专家共识 ,2020,2,19,制定物联网辅助新冠肺炎（COVID-19）诊治中国专家共识，目的为应用基于物联网医学技术的“新型冠状病毒肺炎智能诊治辅助程序”（以下简称nCapp）做好新冠肺炎诊治工作。nCapp可协助：（1）智能辅助诊断：根据登记的数据，问题回答和检查结果，自动生成确诊、疑似还是可疑的诊断；还可自生成诊断分型，包括该患者的状态是轻型、普通型、重型还是危重型；建立在线COVID-19实时更新nCapp数据库，通过数据的自动上传、更新及智能维护，根据最新的真实一线病例数据，实时更新优化智能诊断的模型，提高诊断的准确性。（2）智能指导治疗：根据指南和共识，对不同分型患者给与相应治疗的信息提醒，链接上级医师、管理者协调防控和会诊，并协助新冠肺炎患者愈后的长期随访管理。为达到这一目的，要求使用者对三级联动云平台和国家授权管理者端口开放进行质控。除了共性培训外，在临床应用中还需要根据国际和国家标准进行诊断和治疗的质量控制。主要需要监测和督导上传至云端数据的真实性、可靠性。最终目的是使得各级医院和不同医生，均能够通过nCapp系统的智能辅助及时发现、隔离、管理好确诊、疑似和可疑患者，最终杜绝患者传播、杜绝医师感染，尽快扭转疫情防控形势。
从《伤寒论》六经传变理论探讨新冠肺炎的转归 ,2020,4,14,《伤寒论》六经辨证揭示了外感疾病六经传变的基本规律，而本次“疫毒”诱发的新冠肺炎乃疫毒之邪夹寒湿侵袭人体，在其发病和传变过程中，可以捕捉到六经传变的影子，因此，从《伤寒论》六经传变理论探讨新冠肺炎的转归，对于该病防治具有一定的临床指导价值。六经病指的是病邪侵入人体后患者整体的、综合的、辨证的、变化的阶段性生理病理状态，传变规律遵循三阳经太阳→阳明→少阳，再至三阴经太阴→少阴→厥阴进行传变，研究发现本次疫情有越经传、表里传、直中等，且多含兼证，呈现并病、合病等多种传变形式。通过综合分析发现，六经传变规律可以阐释新冠肺炎的不同分期：初期主要在太阳、太阴，外邪侵袭，首犯太阳，由表及里，入于太阴；中期主要为太阴肺脾受邪可兼有阳明少阳经表现或出现太少两感；若诊疗不及时或病邪太过、正气不足，病情加重，进入后期，可由太阴顺传至少阴、厥阴，有的甚至不表现太阳经症状而直中三阴经，病情危笃，这在患有基础性疾病的老年患者身上表现的尤为突出。到恢复期时，多为肺脾气虚，或兼见病邪耗灼津液，以致气阴两虚。具体转归仍须依据患者体质偏向、治疗情况和心理调适等因素综合考虑。因此，新冠肺炎发病符合六经传变规律，临床上以六经辨证为纲，掌握疾病传变规律，辨证用药，灵活化裁，可以取得满意的临床疗效。
从病理学角度探讨清肺排毒汤联合克力芝治疗新冠肺炎的优势 ,2020,3,11,"目的 探讨清肺排毒汤联合克力芝治疗新冠肺炎的优势。方法 基于新冠肺炎死亡患者病理解剖结果和国家卫健委新冠肺炎诊疗方案第六版,结合临床资料,探讨清肺排毒汤联合克力芝治疗新冠肺炎的优势。结果 认为清肺排毒汤联合克力芝治疗新冠肺炎可中西并重,优势互补,标本兼治,将克力芝的抗病毒与清肺排毒汤的清肺热、健脾运,祛痰湿,调气机、畅气化作用相结合,从抗病毒、免疫调节、减少渗出,缓解肺间质水肿,清理气道、改善通气等多途径、多靶点作用于疾病的病理过程,抑制了疾病进展,对于疾病的不同阶段,不同类型,使症状、影像学短期内改善,缩短疗程,减少重症发生。结论 清肺排毒汤联合克力芝治疗新冠肺炎具有急用、实用、效用的优势,值得推广。"
新冠肺炎疫情背景下孙思邈医德思想融入医学生医德教育的策略研究 ,2020,3,18,2020年初，一场由新型冠状病毒（2019-nCoV）所引发的肺炎疫情从湖北省武汉市蔓延开来。在这场国际关注的突发公共卫生事件中，广大医务工作者“不计报酬，不论生死”，用生命和汗水守护人民群众生命安全，谱写了一曲生动的医德赞歌。在此背景下，医学院校要深入挖掘此次战“疫”过程中的英雄故事、典型事例，作为医德教育的生动教材，并以此时代背景为契机，将突发公共卫生事件与孙思邈医德思想内涵有机结合起来，阐明新冠肺炎疫情背景下加强医学生医德教育的意义，从建立医德认知、培育医德情感、内化医德信念、外化自觉行为等方面探索加强医学生医德教育的策略，探讨如何将特定情境产生的激情转化为医学生内在持久的精神动力，以期增强医德教育的有效性和针对性。
清肺排毒汤治疗新冠肺炎的中医理论分析 ,2020,3,10,自新冠肺炎疫情发生以来，国家中医药管理局紧急启动“防治新型冠状病毒感染的肺炎中医药有效方剂筛选研究”专项，筛选出清肺排毒汤作为中医药治疗新冠肺炎各期、各型的通用方，本文从中医理论角度进行分析清肺排毒汤治疗新冠肺炎，以期为中西医及全科医师临床使用该方剂提供参考。
益气宣痹汤治疗新冠肺炎后肺纤维化倾向可行性探讨 ,2020,3,19,随着新型冠状病毒肺炎符合出院标准的患者逐渐增多，出院后新冠肺炎后肺间质纤维化倾向的治疗应该引起重视，查阅文献，并分析新冠肺炎后肺纤维化倾向的临床特征及中医分型，发现恢复期患者病机为虚实夹杂，肺气不宣，其虚以肺脾气虚或气阴两虚为主，其实以痰瘀阻络为主。益气宣痹汤具有益气宣痹、活血通络作用，为临床治疗肺间质纤维化的经验方，建议对新冠肺炎后肺纤维化倾向患者给予治疗。
基于“三因制宜”原则探讨新冠肺炎不同中医方案的差异性 ,2020,3,20,新冠肺炎爆发以来，中医药及时介入并发挥了重要作用，可以显著改善患者的临床症状、退热、止咳、缩短病程及降低轻中重病情转化率，同时在提高患者的生存率、改善患者的预后及生存质量等方面具有明显优势。为了更好的发挥中医药的治疗作用，尽早战胜疫情，各个省、市、自治区结合本地地域、气候和疫情情况，陆续出台了本地中医药治疗方案。本文从三因制宜角度分析了各地治疗方案的异同性，认为发病时令相同，治疗方案差异性多取决于地域和气候因素，结果显示全国七大区域，温湿地区如华中、华南、华东、西南早期证候表现多以“湿、温、热、毒”为特点，治疗方案多用清热解毒、健脾化湿类方药；寒冷地区如华北、东北、西北早期证候表现多以“寒、湿、风、毒”为特点，治疗方案突出祛风散寒、化湿解毒作用。其中，以湖北疫情作为重要参照的国家方案，逐渐从各期的证候属性单一演变为寒热证型兼具与施治方法多样。随着疾病进展，疫毒、邪热闭肺为中期主要证候特点，治疗多侧重泄热解毒；重症期则以内闭外脱为主，治疗多急用开闭固脱之法；恢复期以肺脾气虚、气阴两虚为主，治疗多用健脾补肺，益气养阴方药；因体质因素多体现于预防方案，治疗方案中较少见。各地区新冠肺炎中医治疗方案显示出了明显的差异性，通过分析这些差异性，并总结出相应规律，这对于差异性防治类似新冠肺炎这类传染性疾病具有重要的意义。
基于《温疫论》理论探讨新冠肺炎的辨证施治方法 ,2020,3,20,2019年12月我国武汉爆发的新冠肺炎，具有较强的传染性和流行性，属于中医学“瘟疫”范畴，严重威胁人类的生命健康。面对这一突发的公共卫生事件，本文基于《温疫论》理论，从临床实际出发，对新冠肺炎的发病特点、传变以及辨证论治进行了解析。根据此次疫情的特点，新冠肺炎的病因为感受“戾气”，病机为疫毒遏湿，其传变遵循《温疫论》“表里九传”规律，可分为顺传与逆传，病程具有一定的规律性与阶段性。初期邪伏膜原、疫毒遏湿，应开达膜原、祛湿化浊、宣透疏利；中期病邪可顺传于表，此时应当使用辛凉解表之剂，通过战汗透邪，使邪随汗出，若湿毒入里化热，致肺络受损，腑气不通，里实热结，当通腑泻热，攻下逐邪，给邪以出路；若失治、误治、病邪太过，可致病邪内陷心包，造成神昏谵语、躁扰不宁、四肢厥逆、脉微欲绝等内闭外脱的危重表现，治疗上注意攻补兼施，开闭固脱；恢复期，由于余邪未尽，且热病易伤阴耗气，治疗上不仅要预防余邪反复，更要滋阴补血，恢复正气。在疾病治疗过程中，吴又可提出“祛邪为第一要义、忌妄汗下法、顾护脾胃”三大法则。《温疫论》理论对“瘟疫”的病因病机、传变和辨证施治有着系统的认识，为后代战胜历次瘟疫提供了宝贵经验，这对于此次新冠肺炎的防治同样具有重要的意义。
新冠肺炎疫情期间住院患者陪护人员防护行为调查 ,2020,3,23,"目的 了解新型冠状病毒肺炎疫情期间住院患者陪护人员防护行为现状,以及陪护人员防护知识水平。方法 采用便利抽样法,选取2020年2月3-6日某三级甲等综合医院肿瘤科、呼吸科、血液科、骨科非确诊或疑似新型冠状病毒肺炎患者的陪护人员为研究对象。采用现象学研究法及自行设计的防控知识调查问卷进行调查。结果 共发放问卷208份,有效回收率为100%。研究人员直接观察结果显示,佩戴口罩执行率为84.62%(176/208),佩戴口罩正确率为50.57%(89/176)。手卫生执行率为75.00%(156/208),正确率为22.44%(35/156)。病房通风执行率达100%,90.38%的陪护人员能够做到每日2次病房通风。防护知识水平问卷调查显示,陪护人员对新型冠状病毒肺炎临床表现认识的正确率最高,达98.08%;仅50.48%的陪护人员认为75%乙醇可以杀灭新型冠状病毒;46.15%的陪护人员认为自己体温升高有必要告知医护人员;有8名被调查陪护人员认为可以和认识的亲朋好友聚众聊天。结论 陪护人员防护行为执行正确率较低,病区应重视对陪护人员进行新型冠状病毒肺炎防控知识与行为的教育,以提高其防护执行正确率,从而避免医院聚集性疫情发生。"
